,Name,Price,Category,Image,UPC
104,Boar's Head Sliced Pepperoni,$3.99,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008008.jpg,4242100595
105,Plainville Farms Ground Turkey,$2.99,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008000.jpg,8999112249
106,Kayem Hot Dogs,$9.99,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008003.jpg,3077101020
107,Fiddlehead Ipa,$17.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005579.jpg,85000918705
108,Counter Weight Brewing Co. Headway Ipa,$11.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005614.jpg,86005700160
109,Heineken,$16.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005562.jpg,7289000016
110,Modelo Especial,$16.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005539.jpg,3354400162
111,Arnold Palmer Spiked,$16.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005571.jpg,61300875220
112,Harpoon Or Ufo Beer Co.,$16.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005615.jpg,4182700012
113,Narragansett Lager,$11.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005622.jpg,68907661325
114,Hard Mtn Dew,$16.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2005556.jpg,84026240013
